brand,generation,tier,type,sentiment
intel,alchemist,380,post,0.7901
intel,alchemist,380,comment,0.9274
intel,alchemist,380,comment,0.2302
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.6997
intel,alchemist,380,comment,-0.2732
intel,alchemist,380,comment,0.577
intel,alchemist,380,comment,0.6705
intel,alchemist,380,comment,0.9843
intel,alchemist,380,comment,0.3612
intel,alchemist,380,comment,0.2023
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.4019
intel,alchemist,380,comment,-0.296
intel,alchemist,380,comment,0.6486
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.0276
intel,alchemist,380,comment,0.0
intel,alchemist,380,post,0.0
intel,alchemist,380,comment,0.7615
intel,alchemist,380,comment,-0.3109
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.4927
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.765
intel,alchemist,380,comment,0.6808
intel,alchemist,380,comment,0.7717
intel,alchemist,380,comment,0.2023
intel,alchemist,380,comment,0.296
intel,alchemist,380,comment,0.4588
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.3802
intel,alchemist,380,comment,0.2144
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.8042
intel,alchemist,380,comment,0.0
intel,alchemist,380,post,0.9049
intel,alchemist,380,comment,-0.9094
intel,alchemist,380,comment,0.4735
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.974
intel,alchemist,380,comment,0.6486
intel,alchemist,380,comment,0.5346
intel,alchemist,380,post,-0.8181
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.1027
intel,alchemist,380,comment,0.4019
intel,alchemist,380,comment,-0.6358
intel,alchemist,380,comment,-0.34
intel,alchemist,380,comment,-0.3468
intel,alchemist,380,comment,-0.2023
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.0387
intel,alchemist,380,comment,0.1779
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.128
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.6908
intel,alchemist,380,comment,0.0516
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.3968
intel,alchemist,380,comment,0.4404
intel,alchemist,380,post,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.6369
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.4404
intel,alchemist,380,comment,0.3612
intel,alchemist,380,comment,0.3451
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.0534
intel,alchemist,380,comment,-0.3612
intel,alchemist,380,comment,0.5719
intel,alchemist,380,comment,0.4671
intel,alchemist,380,comment,0.4939
intel,alchemist,380,comment,0.4238
intel,alchemist,380,comment,0.5992
intel,alchemist,380,comment,0.8271
intel,alchemist,380,post,0.0
intel,alchemist,380,comment,0.962
intel,alchemist,380,comment,-0.2732
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.7368
intel,alchemist,380,comment,0.6705
intel,alchemist,380,comment,0.7745
intel,alchemist,380,comment,0.7783
intel,alchemist,380,comment,-0.0387
intel,alchemist,380,comment,0.4877
intel,alchemist,380,comment,0.4404
intel,alchemist,380,comment,-0.3736
intel,alchemist,380,comment,0.8739
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.4404
intel,alchemist,380,comment,-0.6428
intel,alchemist,380,comment,0.0772
intel,alchemist,380,comment,-0.4588
intel,alchemist,380,comment,0.802
intel,alchemist,380,post,0.3919
intel,alchemist,380,comment,0.702
intel,alchemist,380,comment,0.8316
intel,alchemist,380,comment,0.4754
intel,alchemist,380,comment,0.296
intel,alchemist,380,post,0.0
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,0.0772
intel,alchemist,380,comment,0.0
intel,alchemist,380,comment,-0.1027
intel,alchemist,380,comment,0.6798
intel,alchemist,380,comment,0.7096
