brand,category,type,sentiment
NVIDIA,dlss_only,comment,0.93
NVIDIA,dlss_only,post,0.0
NVIDIA,dlss_only,comment,-0.3182
NVIDIA,dlss_only,comment,0.5319
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.5267
NVIDIA,dlss_only,comment,0.5423
NVIDIA,dlss_only,comment,-0.6757
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.3071
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.6093
NVIDIA,dlss_only,comment,0.7531
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.6369
NVIDIA,dlss_only,comment,-0.2755
NVIDIA,dlss_only,comment,-0.802
NVIDIA,dlss_only,comment,-0.4404
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.936
NVIDIA,dlss_only,comment,0.1027
NVIDIA,dlss_only,comment,-0.0258
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.1263
NVIDIA,dlss_only,comment,-0.9011
NVIDIA,dlss_only,comment,-0.0673
NVIDIA,dlss_only,comment,0.6705
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,post,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8697
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.2732
NVIDIA,dlss_only,comment,0.0258
NVIDIA,dlss_only,comment,-0.0829
NVIDIA,dlss_only,comment,0.0129
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.5457
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.2382
NVIDIA,dlss_only,comment,0.7845
NVIDIA,dlss_only,comment,0.5267
NVIDIA,dlss_only,comment,0.7814
NVIDIA,dlss_only,comment,0.7689
NVIDIA,dlss_only,comment,0.4215
NVIDIA,dlss_only,comment,0.826
NVIDIA,dlss_only,comment,0.7573
NVIDIA,dlss_only,comment,0.2516
NVIDIA,dlss_only,comment,0.549
NVIDIA,dlss_only,comment,-0.5719
NVIDIA,dlss_only,comment,-0.34
NVIDIA,dlss_only,comment,0.8126
NVIDIA,dlss_only,comment,0.5994
NVIDIA,dlss_only,comment,-0.128
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.8227
NVIDIA,dlss_only,comment,0.5994
NVIDIA,dlss_only,comment,-0.7645
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,post,0.4215
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.7964
NVIDIA,dlss_only,comment,-0.296
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.9528
NVIDIA,dlss_only,comment,-0.5423
NVIDIA,dlss_only,comment,0.296
NVIDIA,dlss_only,comment,-0.0258
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.2023
NVIDIA,dlss_only,comment,0.3182
NVIDIA,dlss_only,comment,0.5651
NVIDIA,dlss_only,comment,0.8225
NVIDIA,dlss_only,comment,0.0914
NVIDIA,dlss_only,comment,-0.7351
NVIDIA,dlss_only,comment,0.0258
NVIDIA,dlss_only,comment,-0.5106
NVIDIA,dlss_only,comment,0.7865
NVIDIA,dlss_only,comment,0.5187
NVIDIA,dlss_only,comment,0.7615
NVIDIA,dlss_only,comment,-0.8439
NVIDIA,dlss_only,comment,0.0772
NVIDIA,dlss_only,comment,0.0258
NVIDIA,dlss_only,comment,0.5859
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.9171
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.4019
NVIDIA,dlss_only,comment,0.9464
NVIDIA,dlss_only,post,0.553
NVIDIA,dlss_only,comment,-0.3818
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.2023
NVIDIA,dlss_only,comment,0.8777
NVIDIA,dlss_only,comment,0.0772
NVIDIA,dlss_only,comment,0.34
NVIDIA,dlss_only,comment,-0.4588
NVIDIA,dlss_only,comment,0.5499
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.6908
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.4767
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.128
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,-0.5696
NVIDIA,dlss_only,comment,-0.5904
NVIDIA,dlss_only,comment,0.3612
NVIDIA,dlss_only,comment,-0.5204
NVIDIA,dlss_only,comment,0.2023
NVIDIA,dlss_only,comment,0.7964
NVIDIA,dlss_only,comment,0.4267
NVIDIA,dlss_only,comment,0.5256
NVIDIA,dlss_only,comment,0.793
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,-0.3869
NVIDIA,dlss_only,comment,0.5106
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,post,0.0
NVIDIA,dlss_only,comment,-0.1027
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.3616
NVIDIA,dlss_only,comment,0.1779
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.1531
